name,isToken,image,star,cost,isGold,attack,health,keyWords,longKeyWords,type,cardType,tag,SkillDescription,dcription,counters
名称0,是否为token1,卡图2,星级3,打出费用4,是否是金卡5,攻击力6,生命值7,关键字8,带描述的关键字9,种族10,卡牌类型11,流派标签12,技能描述(替换自动生成的描述)13,背景描述14,计数器
空随从,1,,0,0,0,0,0,,,,随从,,该随从用于代码实现中占位，请勿修改,,0;1;2
鱼人招潮者,0,card1,1,0,0,1,2,,WhenMinionSummon:Plus1AttackWhenSummonAllyOr2;,鱼人,随从,2;特殊;鱼人,,,
鱼人领军,0,card2,2,0,0,3,3,,Aura:PlusAlly2AttackOr4;,鱼人,随从,4;鱼人流;鱼人,,,
爆爆机器人,0,card3,2,0,0,2,2,,Deathrattle:Deal4DamageToRandomEnemyMinionOrDoubleThis;,机械,随从,2;机械;亡语,,,
回收机器人,0,card4,5,0,0,1,5,,AfterMinionDeath:Gain22WhenMechDeathOr44;,机械,随从,3;机械流;机械,,,
钴制卫士,0,card5,3,0,0,6,3,,WhenMinionSummon:GainDivineShieldWhenSummonMech;,机械,随从,1;机械流;机械流;机械;圣盾,,,
安保巡游者,0,card6,4,0,0,2,6,,AfterHurt:Summon23TauntMechOr46;,机械,随从,2;机械;召唤;嘲讽,,,
麦田傀儡,0,card7,2,0,0,2,3,,Deathrattle:Summon21MechOr42;,机械,随从,2;机械;召唤,,,
损坏的傀儡,1,card8,1,0,0,2,1,,,机械,随从,,,,
安保机器人,1,card9,1,0,0,2,3,嘲讽;,,机械,随从,,,,
卡德加,0,card10,3,0,0,2,2,,AfterMinionSummon:SummonDoubleMinionOrTribleIt;,,随从,4;特殊;中立;召唤;奇异,,,
机械蛋,0,card11,4,0,0,0,5,,Deathrattle:Summon88MechOr1616;,机械,随从,2;机械;亡语;召唤,,,
机械暴龙,1,card12,1,0,0,8,8,,,机械,随从,,,,
瘟疫鼠群,0,card13,2,0,0,2,2,,Deathrattle:SummonAttacksNumber11Beast;,野兽,随从,2;野兽;亡语;召唤,,,
老鼠,1,card14,1,0,0,1,1,,,野兽,随从,,,,
阴森巨蟒,0,card15,6,0,0,7,7,,Deathrattle:Summon2DeathrattleMinion;,野兽,随从,2;野兽;亡语;召唤,,,
骑乘迅猛龙,0,card16,2,0,0,3,2,,Deathrattle:SummonRamdom1StarMinion;,野兽,随从,2;野兽;亡语;召唤,,,
熊妈妈,0,card17,6,0,0,5,5,,WhenMinionSummon:Give55WhenSummonBeast;,野兽,随从,4;野兽流;野兽,,,
雄斑虎,0,card18,1,0,0,1,1,,Battlecry:Summon11Beast;,野兽,随从,2;野兽;召唤,,,
雌斑虎,1,card19,1,0,0,1,1,,,野兽,随从,2,,,
虚空领主,0,card20,5,0,0,3,9,嘲讽,Deathrattle:SummonThree13Demon;,恶魔,随从,2;恶魔;嘲讽;亡语;召唤,,,
虚空行者,0,card21,1,0,0,1,3,嘲讽,,恶魔,随从,2;恶魔;嘲讽,,,
灵魂杂耍者,0,card22,3,0,0,3,3,,AfterMinionDeath:Deal3DamageToRandomEnemyMinionWhenDemonDie;,,随从,4;恶魔流;恶魔流;恶魔;中立,,,
小鬼囚徒,0,card23,2,0,0,3,3,嘲讽;,Deathrattle:Summon11Demon;,恶魔,随从,2;恶魔;嘲讽;亡语;召唤,,,
小鬼首领,0,card24,3,0,0,2,4,,AfterHurt:Summon11Demon;,恶魔,随从,2;恶魔;召唤,,,
小鬼,1,card25,1,0,0,1,1,,,恶魔,随从,,,,
邪魔仆从,0,card26,1,0,0,2,1,,Deathrattle:GiveAnAllyAttack;,恶魔,随从,1;恶魔;亡语,,,
玛尔加尼斯,0,card27,5,0,0,9,7,,Aura:AllyDemonGain2Attack2Health;Aura:AllyHeroGainImmune,恶魔,随从,3;恶魔流;恶魔,,,
恐狼前锋,0,card28,1,0,0,2,2,,Aura:AdjacentMinionGein1Attack;,野兽,随从,2;野兽,,,
瑞文戴尔男爵,0,card29,5,0,0,1,7,,Aura:DouleDeathrattle;,,随从,4;亡语流;唯一;中立;亡语,,,
布莱恩·铜须,0,card30,5,0,0,2,4,,Aura:DouleBattlecry;,,随从,2;战吼流;唯一;中立;战吼,,,
阿古斯防御者,0,card31,4,0,0,2,3,,Battlecry:AdjacentMinionGain1Attack1HealthTaunt;,2;战吼;嘲讽,随从;中立,,,,
塔隆·血魔,0,card32,4,0,0,3,4,,Battlecry:EatAllAllyThenReSummon;,,随从,2;战吼;亡语;奇异;中立;召唤,,,
灵魂歌者安布拉,0,card33,3,0,0,3,4,,AfterMinionSummon:TriggerDealthrattle;,,随从,4;特殊;亡语;召唤;中立,,,
魔泉山猫,0,card34,1,0,0,1,1,,Battlecry:Create11BeastOr22;,野兽,随从,2;手牌;战吼;野兽,,,
山猫,1,card35,1,0,0,1,1,,,野兽,随从,2,,,
载人毁灭机,0,card36,2,0,0,4,3,,Deathrattle:Recall2StarMinionFromHand;,机械,随从,2;手牌;机械;亡语;召唤,,,
艾莫莉丝,0,card37,6,0,0,8,8,,Battlecry:DoubleHandMinionBody;,龙,随从,2;手牌;战吼;龙,,,
青铜传令官,0,card38,1,0,0,3,2,,Deathrattle:Create244Dragons;,龙,随从,0;龙;亡语;手牌,,,
青铜龙,1,card39,1,0,0,4,4,,,龙,随从,,,,
坎格尔的学徒,0,card40,6,0,0,3,6,,Deathrattle:SummonFirst2DeathMech;,,随从,3;机械流;机械;亡语;中立;召唤;亡语流,,,
蛮鱼斥候,0,card41,5,0,0,3,2,,Battlecry:DiscoverMinionIfYouControlMinionType;,鱼人,随从,2;鱼人;战吼,,,
寒光先知,0,card42,3,0,0,2,3,,Battlecry:PlusAlly2HealthOr4;,鱼人,随从,2;鱼人;战吼,,,
蹒跚的食尸鬼,0,card43,2,0,0,1,3,嘲讽;,Deathrattle:Deal1Or2DamageToAllMinion;,,随从,0;特殊;亡语;嘲讽;中立,,,
废旧螺栓机甲,0,card44,3,0,0,2,5,,Battlecry:AddAnAllyMech2Attack2Health;,机械,随从,2;战吼;机械,,,
青铜守卫,0,card45,3,0,0,2,1,复生;圣盾,,龙,随从,2;龙;圣盾;复生,,,
归来的勇士,0,card46,2,0,0,1,5,,AfterMinionReborn:FillHealthWhenReborn;,,随从,4,,,
白骨怨灵,0,card47,3,0,0,2,5,复生;嘲讽,,,随从,2;嘲讽;复生;中立,,,
灵魂射手,0,card48,6,0,0,7,10,,CombatStart:Deal5DemageToSelectedMinion;,野兽,随从,2;特殊;野兽;奇异,,,
月亮巨人守护者,0,card49,6,0,0,10,10,复生;圣盾,,,随从,2;圣盾;复生;中立,,,
迈克斯纳,0,card50,6,0,0,2,8,剧毒,,野兽,随从,2;剧毒;野兽,,,
毒鳍鱼人,0,card51,4,0,0,1,2,,Battlecry:GiveAnAllyMurlocPoisonous;,鱼人,随从,2;剧毒;鱼人;战吼,,,
洞穴多头蛇,0,card52,4,0,0,2,4,狂战斧,,野兽,随从,1;野兽流;野兽;狂战,,,
死神4000,0,card53,6,0,0,6,9,狂战斧,,机械,随从,1;机械流;机械;狂战,,,
猛犸人头领,0,card54,5,0,0,5,3,狂战斧,,,随从,1;中立;狂战,,,
吵吵模组,0,card55,4,0,0,2,4,磁力;圣盾;嘲讽,,机械,随从,2;圣盾;嘲讽;机械;磁力,,,
量产型恐吓机,0,card56,3,0,0,3,1,磁力;,Deathrattle:SummonThree11Mech;,机械,随从,2;亡语;召唤;机械;磁力,,,
量产型恐吓机,1,card57,3,0,1,6,2,磁力;,Deathrattle:SummonThree22Mech;,机械,随从,2,,,
微型机器人,1,card58,1,0,0,1,1,,,机械,随从,,,,
无私的英雄,0,card59,1,0,0,2,1,,Deathrattle:GiveOneOrTwoOtherAllyDivineShield;,,随从,0;中立流;中立流;亡语;圣盾;中立,,,
愤怒编织者,0,card60,1,0,0,1,1,,AfterMinionPlayed:Deal1damageToHeroAndGain22Or44;,,随从,2;中立;恶魔,,,
恩佐斯的子嗣,0,card61,2,0,0,2,2,,Deathrattle:OtherAllyGain11Or22;,,随从,0;中立;亡语,,,
人气选手,0,card62,3,0,0,4,4,,AfterMinionPlayed:IfHasBattlecryGain11Or22;,,随从,2;中立;战吼,,,
族群领袖,0,card63,3,0,0,3,3,,WhenMinionSummon:Give3Or6AttackWhenSummonBeast;,,随从,4;野兽流;中立;野兽,,,
兔妖教头,0,card64,4,0,0,4,5,,Battlecry:AddAnAllyBeast2Attack2Health;,,随从,2;中立;战吼;野兽,,,
驯兽师,0,card65,3,0,0,4,3,,Battlecry:GiveAnAllyBeast22Or44AndTaunt;,,随从,2;中立;战吼;野兽;嘲讽,,,
魔瘾结晶者,0,card66,3,0,0,5,4,,Battlecry:AllyDemonGain11Or22;,,随从,2;中立;战吼;恶魔,,,
展览馆法师,0,card67,4,0,0,4,4,,Battlecry:GiveAnRandomAllyMurlocBeastDragon22;,,随从,2;中立;混合;鱼人;野兽;龙,,,
浴火者伯瓦尔,0,card68,4,0,0,1,7,圣盾;,AfterMinionDivineShieldBroken:Plus2Or4Attack;,,随从,3;圣盾流;中立;圣盾,,,
硬壳清道夫,0,card69,5,0,0,2,3,,Battlecry:OtherAllyWithTauntGain22Or44;,,随从,2;中立;战吼;嘲讽,,,
光牙执行者,0,card70,5,0,0,2,2,,TurnEnd:GiveAllTypeRandomAlly21;,,随从,2;中立;混合,,,
金刚刃牙兽,0,card71,2,0,0,3,3,,Battlecry:PlusAllyMech2AttackOr4;,机械,随从,2;机械;战吼,,,
纳斯雷兹姆监工,0,card72,2,0,0,2,4,,Battlecry:AddAnAllyDemon2Attack2Health;,恶魔,随从,2;恶魔;战吼,,,
食腐土狼,0,card73,2,0,0,2,2,,AfterMinionDeath:Gain21WhenBeastDeathOr42;,野兽,随从,3;野兽流;野兽,,,
漂浮观察者,0,card74,4,0,0,4,4,,AfterHeroHurt:Gain22Or44AfterHeroHurt;,恶魔,随从,2;恶魔,,,
扭曲巨龙泽拉库,0,card75,5,0,0,4,12,,AfterHeroHurt:Summon66Or1212Dragon;,龙,随从,2;龙;恶魔;召唤,,,
虚空幼龙,1,card76,1,0,0,6,6,,,龙,随从,,,,
梦魇融合怪,0,card77,2,0,0,3,4,,,融合怪,随从,2;奇异;特殊,,,
融合怪,1,card78,1,0,0,1,1,,,融合怪,随从,2,,,
狼王戈德林,0,card79,5,0,0,4,4,,Deathrattle:OtherAllyBeastGain44Or88;,野兽,随从,0;野兽流;野兽;亡语,,,
鱼人猎潮者,0,card80,1,0,0,2,1,,Battlecry:Summon11Murloc;,鱼人,随从,2;鱼人;战吼;召唤,,,
鱼人斥候,1,card81,1,0,0,1,1,,,鱼人,随从,2,,,
正义保护者,0,card82,1,0,0,1,1,圣盾;嘲讽,,,随从,2;中立流;圣盾;嘲讽;中立,,,
石塘猎人,0,card83,1,0,0,2,3,,Battlecry:GiveAnAllyMurloc11Or22;,鱼人,随从,2;鱼人;战吼,,,
老瞎眼,0,card84,2,0,0,2,4,,Aura:Plus1AttackOr2ForEachMurloc;,鱼人,随从,1;鱼人流;鱼人,,,
拜格尔格国王,0,card85,5,0,0,6,3,,Battlecry:OtherAllyMurlocGain22Or44;Deathrattle:OtherAllyMurlocGain22Or44;,鱼人,随从,0;鱼人;战吼;亡语,,,
温顺的巨壳龙,0,card86,6,0,0,5,4,,Battlecry:EvolveAllAllyMurloc;,野兽,随从,2;野兽;鱼人;战吼,,,
机械动物管理员,0,card87,2,0,0,3,3,,Battlecry:GiveAnRandomAllyMurlocBeastDragon11;,机械,随从,2;机械;鱼人;野兽;龙;战吼;混合,,,
强能箭猪,0,card88,3,0,0,2,4,,Deathrattle:DealAttacksNumberDamage;,野兽,随从,1;野兽流;野兽;亡语,,,
