//唯一名称0,显示名称1,卡牌类型2,种族3,是否是衍生物4,卡图5,星级6,打出费用7,是否是金卡8,攻击力9,生命值10,关键字11,code12,描述13,背景描述14,tag15
空随从,空随从,随从,,1,,0,,,0,0,,,,,
鱼人招潮者,鱼人招潮者,随从,鱼人,0,card1,1,,,1,2,,"AfterMinionSummon:IfOwnAndNotSelf:if: {target.isType:""鱼人""}, host.AddBodyBuff:gold+1,0",召唤其他鱼人时，获得1攻击力,,2;特殊;鱼人
鱼人领军,鱼人领军,随从,鱼人,0,card2,2,,,3,3,,"Aura: ForEachCard: AllAllyMinions, if:{cur.isType:""鱼人""} and cur!=host,cur.AddBodyBuffArua:2+gold*2,0",,,4;鱼人流;鱼人
爆爆机器人,爆爆机器人,随从,机械,0,card3,2,,,2,2,,,,,2;机械;亡语
回收机器人,回收机器人,随从,机械,0,card4,5,,,1,5,,,,,3;机械流;机械
钴制卫士,钴制卫士,随从,机械,0,card5,3,,,6,3,,,,,1;机械流;机械流;机械;圣盾
安保巡游者,安保巡游者,随从,机械,0,card6,4,,,2,6,,,,,2;机械;召唤;嘲讽
麦田傀儡,麦田傀儡,随从,机械,0,card7,2,,,2,3,,,,,2;机械;召唤
损坏的傀儡,损坏的傀儡,随从,机械,1,card8,1,,,2,1,,,,,
安保机器人,安保机器人,随从,机械,1,card9,1,,,2,3,嘲讽;,,,,
卡德加,卡德加,随从,,0,card10,3,,,2,2,,,,,4;特殊;中立;召唤;奇异
机械蛋,机械蛋,随从,机械,0,card11,4,,,0,5,,,,,2;机械;亡语;召唤
机械暴龙,机械暴龙,随从,机械,1,card12,1,,,8,8,,,,,
瘟疫鼠群,瘟疫鼠群,随从,野兽,0,card13,2,,,2,2,,,,,2;野兽;亡语;召唤
老鼠,老鼠,随从,野兽,1,card14,1,,,1,1,,,,,
阴森巨蟒,阴森巨蟒,随从,野兽,0,card15,6,,,7,7,,,,,2;野兽;亡语;召唤
骑乘迅猛龙,骑乘迅猛龙,随从,野兽,0,card16,2,,,3,2,,,,,2;野兽;亡语;召唤
熊妈妈,熊妈妈,随从,野兽,0,card17,6,,,5,5,,,,,4;野兽流;野兽
雄斑虎,雄斑虎,随从,野兽,0,card18,1,,,1,1,,,,,2;野兽;召唤
雌斑虎,雌斑虎,随从,野兽,1,card19,1,,,1,1,,,,,2
虚空领主,虚空领主,随从,恶魔,0,card20,5,,,3,9,嘲讽,,,,2;恶魔;嘲讽;亡语;召唤
虚空行者,虚空行者,随从,恶魔,0,card21,1,,,1,3,嘲讽,,,,2;恶魔;嘲讽
灵魂杂耍者,灵魂杂耍者,随从,,0,card22,3,,,3,3,,,,,4;恶魔流;恶魔流;恶魔;中立
小鬼囚徒,小鬼囚徒,随从,恶魔,0,card23,2,,,3,3,嘲讽;,,,,2;恶魔;嘲讽;亡语;召唤
小鬼囚徒,小鬼囚徒,随从,恶魔,1,card23,2,,,6,6,嘲讽;,,,,2;恶魔;嘲讽;亡语;召唤
小鬼首领,小鬼首领,随从,恶魔,0,card24,3,,,2,4,,,,,2;恶魔;召唤
小鬼,小鬼,随从,恶魔,1,card25,1,,,1,1,,,,,
邪魔仆从,邪魔仆从,随从,恶魔,0,card26,1,,,2,1,,,,,1;恶魔;亡语
玛尔加尼斯,玛尔加尼斯,随从,恶魔,0,card27,5,,,9,7,,,,,3;恶魔流;恶魔
恐狼前锋,恐狼前锋,随从,野兽,0,card28,1,,,2,2,,,,,2;野兽
瑞文戴尔男爵,瑞文戴尔男爵,随从,,0,card29,5,,,1,7,,,,,4;亡语流;唯一;中立;亡语
布莱恩·铜须,布莱恩·铜须,随从,,0,card30,5,,,2,4,,,,,2;战吼流;唯一;中立;战吼
阿古斯防御者,阿古斯防御者,随从,,0,card31,4,,,2,3,,,,,2;战吼;嘲讽;中立
塔隆·血魔,塔隆·血魔,随从,,0,card32,4,,,3,4,,,,,2;战吼;亡语;奇异;中立;召唤
灵魂歌者安布拉,灵魂歌者安布拉,随从,,0,card33,3,,,3,4,,,,,4;特殊;亡语;召唤;中立
魔泉山猫,魔泉山猫,随从,野兽,0,card34,1,,,1,1,,,,,2;手牌;战吼;野兽
山猫,山猫,随从,野兽,1,card35,1,,,1,1,,,,,2
载人毁灭机,载人毁灭机,随从,机械,0,card36,2,,,4,3,,,,,2;手牌;机械;亡语;召唤
艾莫莉丝,艾莫莉丝,随从,龙,0,card37,6,,,8,8,,,,,2;手牌;战吼;龙
青铜传令官,青铜传令官,随从,龙,0,card38,1,,,3,2,,,,,0;龙;亡语;手牌
青铜龙,青铜龙,随从,龙,1,card39,1,,,4,4,,,,,
坎格尔的学徒,坎格尔的学徒,随从,,0,card40,6,,,3,6,,,,,3;机械流;机械;亡语;中立;召唤;亡语流
蛮鱼斥候,蛮鱼斥候,随从,鱼人,0,card41,5,,,3,2,,,,,2;鱼人;战吼
寒光先知,寒光先知,随从,鱼人,0,card42,3,,,2,3,,,,,2;鱼人;战吼
蹒跚的食尸鬼,蹒跚的食尸鬼,随从,,0,card43,2,,,1,3,嘲讽;,,,,0;特殊;亡语;嘲讽;中立
废旧螺栓机甲,废旧螺栓机甲,随从,机械,0,card44,3,,,2,5,,,,,2;战吼;机械
青铜守卫,青铜守卫,随从,龙,0,card45,3,,,2,1,复生;圣盾,,,,2;龙;圣盾;复生
归来的勇士,归来的勇士,随从,,0,card46,5,,,6,4,,,,,2
白骨怨灵,白骨怨灵,随从,,0,card47,3,,,2,5,复生;嘲讽,,,,2;嘲讽;复生;中立
灵魂射手,灵魂射手,随从,,0,card48,6,,,7,10,,,,,2;特殊;奇异
月亮巨人守护者,月亮巨人守护者,随从,,0,card49,6,,,10,10,复生;圣盾,,,,2;圣盾;复生;中立
迈克斯纳,迈克斯纳,随从,野兽,0,card50,6,,,2,8,剧毒,,,,2;剧毒;野兽
毒鳍鱼人,毒鳍鱼人,随从,鱼人,0,card51,4,,,1,2,,,,,2;剧毒;鱼人;战吼
洞穴多头蛇,洞穴多头蛇,随从,野兽,0,card52,4,,,2,4,狂战斧,,,,1;野兽流;野兽;狂战
死神4000,死神4000,随从,机械,0,card53,6,,,6,9,狂战斧,,,,1;机械流;机械;狂战
猛犸人头领,猛犸人头领,随从,,0,card54,5,,,5,3,狂战斧,,,,1;中立;狂战
吵吵模组,吵吵模组,随从,机械,0,card55,4,,,2,4,磁力;圣盾;嘲讽,,,,2;圣盾;嘲讽;机械;磁力
量产型恐吓机,量产型恐吓机,随从,机械,0,card56,3,,,3,1,磁力;,,,,2;亡语;召唤;机械;磁力
量产型恐吓机,量产型恐吓机,随从,机械,1,card57,3,,,6,2,磁力;,,,,2
微型机器人,微型机器人,随从,机械,1,card58,1,,,1,1,,,,,
无私的英雄,无私的英雄,随从,,0,card59,1,,,2,1,,,,,0;中立流;中立流;亡语;圣盾;中立
愤怒编织者,愤怒编织者,随从,,0,card60,1,,,1,1,,,,,2;中立;恶魔
恩佐斯的子嗣,恩佐斯的子嗣,随从,,0,card61,2,,,2,2,,,,,0;中立;亡语
人气选手,人气选手,随从,,0,card62,3,,,4,4,,,,,2;中立;战吼
族群领袖,族群领袖,随从,,0,card63,3,,,3,3,,,,,4;野兽流;中立;野兽
兔妖教头,兔妖教头,随从,,0,card64,4,,,4,5,,,,,2;中立;战吼;野兽
驯兽师,驯兽师,随从,,0,card65,3,,,4,3,,,,,2;中立;战吼;野兽;嘲讽
魔瘾结晶者,魔瘾结晶者,随从,,0,card66,3,,,5,4,,,,,2;中立;战吼;恶魔
展览馆法师,展览馆法师,随从,,0,card67,4,,,4,4,,,,,2;中立;混合;鱼人;野兽;龙
浴火者伯瓦尔,浴火者伯瓦尔,随从,,0,card68,4,,,1,7,圣盾;,,,,3;圣盾流;中立;圣盾
硬壳清道夫,硬壳清道夫,随从,,0,card69,5,,,2,3,,,,,2;中立;战吼;嘲讽
光牙执行者,光牙执行者,随从,,0,card70,5,,,2,2,,,,,2;中立;混合
